data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
1556064000000000000,1556150400000000000,1556150400000000000,ON,DIVIDENDO,14.98,0.084539,AALR3,,,AALR
1587945600000000000,1587945600000000000,1587945600000000000,ON,DIVIDENDO,10.63,0.087298,AALR3,1608249600000000000,BRAALRACNOR6,AALR
1254268800000000000,1254268800000000000,1254268800000000000,PN,JRS CAP PROPRIO,10.5,0.12,ABCB4,1254268800000000000,,ABCB
1238457600000000000,1238457600000000000,1238457600000000000,PN,JRS CAP PROPRIO,5.66,0.13,ABCB4,1238457600000000000,,ABCB
1246320000000000000,1246320000000000000,1246320000000000000,PN,JRS CAP PROPRIO,7.45,0.13,ABCB4,1246320000000000000,,ABCB
1446320000000000000,1246320000000000000,1246320000000000000,PN,JRS CAP PROPRIO,7.45,0.13,ABCB4,1246320000000000000,,ABCB
