data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
2021-04-22,2021-04-22,2021-04-22,ON,DIVIDENDO,36.75,0.142033449,IGTA3,2021-06-15 00:00:00.000000000,BRIGTAACNOR5,IGTA
2017-04-26,2017-04-26,2017-04-26,ON,DIVIDENDO,33.93,0.33977260368,IGTA3,,,IGTA
2024-04-18,2024-04-18,2024-04-18,UNT,DIVIDENDO,21.13,0.16847989772,IGTI11,2024-07-30 00:00:00.000000000,BRIGTICDAM16,IGTI
2024-04-18,2024-04-18,2024-04-18,UNT,DIVIDENDO,21.13,0.16847989772,IGTI11,2024-10-30 00:00:00.000000000,BRIGTICDAM16,IGTI
2024-04-18,2024-04-18,2024-04-18,ON,DIVIDENDO,3.0,0.02406855682,IGTI3,2024-07-30 00:00:00.000000000,BRIGTIACNOR8,IGTI
2024-04-18,2024-04-18,2024-04-18,ON,DIVIDENDO,3.0,0.02406855682,IGTI3,2024-10-30 00:00:00.000000000,BRIGTIACNOR8,IGTI
2024-04-18,2024-04-18,2024-04-18,PN,DIVIDENDO,8.84,0.07220567045,IGTI4,2024-07-30 00:00:00.000000000,BRIGTIACNPR5,IGTI
2024-04-18,2024-04-18,2024-04-18,PN,DIVIDENDO,8.84,0.07220567045,IGTI4,2024-10-30 00:00:00.000000000,BRIGTIACNPR5,IGTI
2020-07-31,2020-07-31,2020-07-09,ON,DIVIDENDO,27.0,0.143714949,JOPA3,,,JOPA
2016-04-28,2016-04-28,2016-04-08,ON,DIVIDENDO,16.0,0.21676333334,JOPA3,,,JOPA
2009-05-11,2009-05-11,,ON,DIVIDENDO,4.03,0.00976729166,LIXC3,,,LIXC
2009-05-11,2009-05-11,,ON,DIVIDENDO,3.94,0.00976729166,LIXC3,,,LIXC
2009-05-11,2009-05-11,,ON,DIVIDENDO,3.85,0.00976729166,LIXC3,,,LIXC
2009-05-11,2009-05-11,,ON,RENDIMENTO,4.03,0.00291360087,LIXC3,,,LIXC
2009-05-11,2009-05-11,2009-05-07,ON,RENDIMENTO,4.12,0.00291360087,LIXC3,,,LIXC
2009-05-11,2009-05-11,,ON,RENDIMENTO,3.85,0.00291360087,LIXC3,,,LIXC
2009-05-11,2009-05-11,2009-05-11,PN,DIVIDENDO,3.45,0.00976729166,LIXC4,,,LIXC
2009-05-11,2009-05-11,,PN,DIVIDENDO,3.27,0.00976729166,LIXC4,,,LIXC
2009-05-11,2009-05-11,,PN,DIVIDENDO,3.18,0.00976729166,LIXC4,,,LIXC
2010-04-28,2010-04-29,,PN,DIVIDENDO,3.67,0.03025,LIXC4,,,LIXC
2010-04-28,2010-04-29,,PN,DIVIDENDO,3.46,0.03025,LIXC4,,,LIXC
2010-04-28,2010-04-29,2010-04-29,PN,RENDIMENTO,3.89,0.0002,LIXC4,,,LIXC
2010-04-28,2010-04-29,,PN,RENDIMENTO,3.46,0.0002,LIXC4,,,LIXC
2009-05-11,2009-05-11,,PN,RENDIMENTO,3.36,0.00291360087,LIXC4,,,LIXC
2009-05-11,2009-05-11,2009-05-11,PN,RENDIMENTO,3.45,0.00291360087,LIXC4,,,LIXC
2009-05-11,2009-05-11,,PN,RENDIMENTO,3.18,0.00291360087,LIXC4,,,LIXC
2011-05-27,2011-05-27,2011-05-27,ON,JRS CAP PROPRIO,3.3,0.00714666666,MNDL3,2011-07-28 00:00:00.000000000,BRMNDLACNOR4,MNDL
2011-05-27,2011-05-27,2011-05-27,ON,JRS CAP PROPRIO,3.3,0.00714666666,MNDL3,2011-08-29 00:00:00.000000000,BRMNDLACNOR4,MNDL
2011-05-27,2011-05-27,2011-05-27,ON,JRS CAP PROPRIO,3.3,0.00714666666,MNDL3,2011-09-28 00:00:00.000000000,BRMNDLACNOR4,MNDL
