data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
2019-06-14,2019-06-24,2019-06-24,ON,JRS CAP PROPRIO,403.93,0.619021,PNVL3,2019-08-30,,PNVL
2016-12-23,2016-12-28,2016-12-28,ON,JRS CAP PROPRIO,634.99,0.724076,PNVL3,2017-04-28,,PNVL
2016-12-23,2016-12-28,2016-12-28,ON,JRS CAP PROPRIO,634.99,0.724076,PNVL3,2017-03-31,,PNVL
2014-08-12,2014-08-12,2014-08-11,PN,JRS CAP PROPRIO,175.0,0.398004,PNVL4,2014-09-30,,PNVL
2014-08-12,2014-08-12,2014-08-11,PN,JRS CAP PROPRIO,175.0,0.398004,PNVL4,2014-08-29,,PNVL
2015-08-18,2015-08-18,2015-07-29,PN,JRS CAP PROPRIO,154.99,0.398242,PNVL4,2015-09-30,,PNVL
2015-08-18,2015-08-18,2015-07-29,PN,JRS CAP PROPRIO,154.99,0.398242,PNVL4,2015-08-31,,PNVL
2018-08-17,2018-08-23,2018-08-17,PN,JRS CAP PROPRIO,261.0,0.615472,PNVL4,2018-09-28,,PNVL
2018-08-17,2018-08-23,2018-08-17,PN,JRS CAP PROPRIO,261.0,0.615472,PNVL4,2018-08-31,,PNVL
2019-06-14,2019-06-24,2019-05-08,PN,JRS CAP PROPRIO,255.0,0.680923,PNVL4,2019-09-30,,PNVL
2019-06-14,2019-06-24,2019-05-08,PN,JRS CAP PROPRIO,255.0,0.680923,PNVL4,2019-08-30,,PNVL
2016-12-23,2016-12-28,2016-12-28,PN,JRS CAP PROPRIO,236.5,0.796484,PNVL4,2017-04-28,,PNVL
2016-12-23,2016-12-28,2016-12-28,PN,JRS CAP PROPRIO,236.5,0.796484,PNVL4,2017-03-31,,PNVL
2015-04-30,2015-05-05,2015-05-05,ON,DIVIDENDO,0.25,0.000881,TCNO3,2015-11-30,,TCNO
2015-04-30,2015-05-05,2015-05-05,ON,DIVIDENDO,0.25,0.000881,TCNO3,2015-10-30,,TCNO
2015-04-30,2015-05-05,2015-05-05,ON,DIVIDENDO,0.25,0.000881,TCNO3,2015-09-30,,TCNO
2015-04-30,2015-05-05,2015-05-05,ON,DIVIDENDO,0.25,0.000881,TCNO3,2015-08-31,,TCNO
2015-04-30,2015-05-05,2015-05-05,PN,DIVIDENDO,0.21,0.000881,TCNO4,2015-11-30,,TCNO
2015-04-30,2015-05-05,2015-05-05,PN,DIVIDENDO,0.21,0.000881,TCNO4,2015-11-15,,TCNO
2015-04-30,2015-05-05,2015-05-05,PN,DIVIDENDO,0.21,0.000881,TCNO4,2015-10-30,,TCNO
2015-04-30,2015-05-05,2015-05-05,PN,DIVIDENDO,0.21,0.000881,TCNO4,2015-09-30,,TCNO
2015-04-30,2015-05-05,2015-05-05,PN,DIVIDENDO,0.21,0.000881,TCNO4,2015-08-31,,TCNO
2015-04-27,2015-04-27,2015-04-27,ON,DIVIDENDO,3.01,0.06473,TRIS3,2015-05-22,,TRIS
2017-04-27,2017-04-27,2017-04-27,ON,DIVIDENDO,2.72,0.065031,TRIS3,2017-05-31,,TRIS
2019-04-26,2019-04-26,2019-04-26,ON,DIVIDENDO,4.9,0.068438,TRIS3,2019-05-09,,TRIS
2020-04-23,2020-04-23,2020-04-23,ON,DIVIDENDO,8.05,0.107171,TRIS3,2020-04-30,,TRIS
2016-12-12,2016-12-15,2016-12-15,ON,JRS CAP PROPRIO,25.7,0.235294,VLID3,2016-12-28,,VLID
2019-11-11,2019-11-14,2019-11-14,ON,JRS CAP PROPRIO,15.6,0.35,VLID3,2020-01-03,,VLID
