data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
2023-09-27,2023-10-03,,,DIVIDENDO,,0.15,BAOR39,2023-10-17 00:00:00.000000000,BRBAORBDR002,BAOR
2024-06-24,2024-07-01,,,DIVIDENDO,,0.31125,BAOR39,2024-07-15 00:00:00.000000000,BRBAORBDR002,BAOR
2023-11-16,2023-12-22,,,DIVIDENDO,,0.3475,BAOR39,2024-01-05 00:00:00.000000000,BRBAORBDR002,BAOR
2024-02-22,2024-03-18,,,DIVIDENDO,,0.27,BBAJ39,2024-03-28 00:00:00.000000000,BRBBAJBDR006,BBAJ
2023-08-25,2023-09-19,,,DIVIDENDO,,0.2755,BBAJ39,2023-09-28 00:00:00.000000000,BRBBAJBDR006,BBAJ
2024-05-29,2024-06-24,,,DIVIDENDO,,0.386,BBAJ39,2024-07-03 00:00:00.000000000,BRBBAJBDR006,BBAJ
2023-11-16,2023-12-19,,,DIVIDENDO,,0.407,BBAJ39,2024-01-02 00:00:00.000000000,BRBBAJBDR006,BBAJ
2024-08-05,2024-08-21,,,DIVIDENDO,,0.15186078881,BBAS3,2024-08-30 00:00:00.000000000,BRBBASACNOR3,BBAS
2024-08-05,2024-08-21,,,JRS CAP PROPRIO,,0.3144814886,BBAS3,2024-08-30 00:00:00.000000000,BRBBASACNOR3,BBAS
2024-08-05,2024-08-21,,,RENDIMENTO,,0.00270692373,BBAS3,2024-08-30 00:00:00.000000000,BRBBASACNOR3,BBAS
2024-08-05,2024-08-21,,,RENDIMENTO,,0.00560564324,BBAS3,2024-08-30 00:00:00.000000000,BRBBASACNOR3,BBAS
2024-02-22,2024-03-18,,,DIVIDENDO,,0.133561254,BBCN39,2024-03-28 00:00:00.000000000,BRBBCNBDR004,BBCN
2023-08-25,2023-09-19,,,DIVIDENDO,,0.222190101,BBCN39,2023-09-28 00:00:00.000000000,BRBBCNBDR004,BBCN
2024-05-29,2024-06-24,,,DIVIDENDO,,0.269799154,BBCN39,2024-07-03 00:00:00.000000000,BRBBCNBDR004,BBCN
2023-11-16,2023-12-19,,,DIVIDENDO,,0.304573988,BBCN39,2024-01-02 00:00:00.000000000,BRBBCNBDR004,BBCN
2023-12-11,2024-08-01,,,JRS CAP PROPRIO,,0.017249826,BBDC3,2024-09-02 00:00:00.000000000,BRBBDCACNOR1,BBDC
2023-12-11,2024-08-01,,,JRS CAP PROPRIO,,0.018974809,BBDC4,2024-09-02 00:00:00.000000000,BRBBDCACNPR8,BBDC
2024-02-22,2024-03-18,,,DIVIDENDO,,0.134666667,BBER39,2024-03-28 00:00:00.000000000,BRBBERBDR001,BBER
2023-11-16,2023-12-19,,,DIVIDENDO,,0.168,BBER39,2024-01-02 00:00:00.000000000,BRBBERBDR001,BBER
2023-08-25,2023-09-19,,,DIVIDENDO,,0.202,BBER39,2023-09-28 00:00:00.000000000,BRBBERBDR001,BBER
2024-05-29,2024-06-24,,,DIVIDENDO,,0.772,BBER39,2024-07-03 00:00:00.000000000,BRBBERBDR001,BBER
2023-08-25,2023-09-04,,,DIVIDENDO,,0.096,BBGR39,2023-09-14 00:00:00.000000000,BRBBGRBDR006,BBGR
2023-10-19,2023-10-31,,,DIVIDENDO,,0.096,BBGR39,2023-11-13 00:00:00.000000000,BRBBGRBDR006,BBGR
2023-11-16,2023-12-01,,,DIVIDENDO,,0.096,BBGR39,2023-12-13 00:00:00.000000000,BRBBGRBDR006,BBGR
2023-11-16,2023-12-14,,,DIVIDENDO,,0.096,BBGR39,2023-12-27 00:00:00.000000000,BRBBGRBDR006,BBGR
2023-09-27,2023-10-02,,,DIVIDENDO,,0.098,BBGR39,2023-10-13 00:00:00.000000000,BRBBGRBDR006,BBGR
2024-01-23,2024-01-31,,,DIVIDENDO,,0.098,BBGR39,2024-02-15 00:00:00.000000000,BRBBGRBDR006,BBGR
2024-02-22,2024-02-29,,,DIVIDENDO,,0.1,BBGR39,2024-03-13 00:00:00.000000000,BRBBGRBDR006,BBGR
2024-03-25,2024-03-28,,,DIVIDENDO,,0.1012,BBGR39,2024-04-11 00:00:00.000000000,BRBBGRBDR006,BBGR
2024-04-25,2024-04-30,,,DIVIDENDO,,0.1064,BBGR39,2024-05-13 00:00:00.000000000,BRBBGRBDR006,BBGR
2024-06-24,2024-06-28,,,DIVIDENDO,,0.112666667,BBGR39,2024-07-12 00:00:00.000000000,BRBBGRBDR006,BBGR
2024-05-23,2024-05-31,,,DIVIDENDO,,0.114,BBGR39,2024-06-13 00:00:00.000000000,BRBBGRBDR006,BBGR
2024-07-22,2024-07-31,,,DIVIDENDO,,0.123666667,BBGR39,2024-08-13 00:00:00.000000000,BRBBGRBDR006,BBGR
2024-02-22,2024-03-18,,,DIVIDENDO,,0.136,BBIL39,2024-03-28 00:00:00.000000000,BRBBILBDR005,BBIL
2023-08-25,2023-09-19,,,DIVIDENDO,,0.144,BBIL39,2023-09-28 00:00:00.000000000,BRBBILBDR005,BBIL
2023-11-16,2023-12-19,,,DIVIDENDO,,0.402,BBIL39,2024-01-02 00:00:00.000000000,BRBBILBDR005,BBIL
2024-05-29,2024-06-24,,,DIVIDENDO,,0.6635,BBIL39,2024-07-03 00:00:00.000000000,BRBBILBDR005,BBIL
2023-11-16,2023-12-19,,,DIVIDENDO,,1.04773494,BBJP39,2024-01-02 00:00:00.000000000,BRBBJPBDR004,BBJP
2024-02-22,2024-03-18,,,DIVIDENDO,,0.182,BBMR39,2024-03-28 00:00:00.000000000,BRBBMRBDR004,BBMR
2023-08-25,2023-09-19,,,DIVIDENDO,,0.244,BBMR39,2023-09-28 00:00:00.000000000,BRBBMRBDR004,BBMR
2024-05-29,2024-06-24,,,DIVIDENDO,,0.301,BBMR39,2024-07-03 00:00:00.000000000,BRBBMRBDR004,BBMR
2023-11-16,2023-12-19,,,DIVIDENDO,,0.308,BBMR39,2024-01-02 00:00:00.000000000,BRBBMRBDR004,BBMR
2024-06-21,2024-08-16,,,DIVIDENDO,,1.39090855697,BBSE3,2024-08-30 00:00:00.000000000,BRBBSEACNOR5,BBSE
