data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
2015-04-30,2015-05-05,2015-05-05 00:00:00.000000000,ON,DIVIDENDO,0.25,0.000881,TCNO3,2015-12-30 00:00:00.000000000,,TCNO
2015-04-30,2015-05-05,2015-05-05 00:00:00.000000000,ON,DIVIDENDO,0.25,0.000881,TCNO3,2015-11-30 00:00:00.000000000,,TCNO
2015-04-30,2015-05-05,2015-05-05 00:00:00.000000000,ON,DIVIDENDO,0.25,0.000881,TCNO3,2015-10-30 00:00:00.000000000,,TCNO
2015-04-30,2015-05-05,2015-05-05 00:00:00.000000000,ON,DIVIDENDO,0.25,0.000881,TCNO3,2015-09-30 00:00:00.000000000,,TCNO
2015-04-30,2015-05-05,2015-05-05 00:00:00.000000000,ON,DIVIDENDO,0.25,0.000881,TCNO3,2015-08-31 00:00:00.000000000,,TCNO
2012-04-30,2012-04-30,2012-04-30 00:00:00.000000000,ON,DIVIDENDO,0.45,0.003,TCNO3,,,TCNO
2010-04-30,2010-04-30,2010-04-30 00:00:00.000000000,ON,DIVIDENDO,1.16,0.0075,TCNO3,,,TCNO
2009-04-30,2009-04-30,2009-04-30 00:00:00.000000000,PN,DIVIDENDO,0.65,0.0004,TCNO4,,,TCNO
2015-04-30,2015-05-05,2015-05-05 00:00:00.000000000,PN,DIVIDENDO,0.21,0.000881,TCNO4,2015-12-30 00:00:00.000000000,,TCNO
2015-04-30,2015-05-05,2015-05-05 00:00:00.000000000,PN,DIVIDENDO,0.21,0.000881,TCNO4,2015-11-30 00:00:00.000000000,,TCNO
2015-04-30,2015-05-05,2015-05-05 00:00:00.000000000,PN,DIVIDENDO,0.21,0.000881,TCNO4,2015-11-15 00:00:00.000000000,,TCNO
2015-04-30,2015-05-05,2015-05-05 00:00:00.000000000,PN,DIVIDENDO,0.21,0.000881,TCNO4,2015-10-30 00:00:00.000000000,,TCNO
